R:A::C:P,0,1 6,2 3 4,5
0,0.4666666666666667,0.21666666666666667,0.23333333333333334,0.08333333333333333
1 6,0.26373626373626374,0.3241758241758242,0.37362637362637363,0.038461538461538464
2 3 4,0.1111111111111111,0.3247863247863248,0.47863247863247865,0.08547008547008547
5,0.23529411764705882,0.17647058823529413,0.4117647058823529,0.17647058823529413
