R:A::C:P,0 1 2,3,4,5 6
0 1 2,0.5020242914979757,0.09716599190283401,0.09716599190283401,0.15384615384615385
3,0.016194331983805668,0.016194331983805668,0.004048582995951417,0.012145748987854251
4,0.012145748987854251,0.008097165991902834,0.020242914979757085,0.004048582995951417
5 6,0.02834008097165992,0.020242914979757085,0.0,0.008097165991902834
