R:A::C:P,0,1 3,2,4 6,5
0,0.08502024291497975,0.032388663967611336,0.016194331983805668,0.032388663967611336,0.004048582995951417
1 3,0.13360323886639677,0.12955465587044535,0.10121457489878542,0.10931174089068826,0.03643724696356275
2,0.02834008097165992,0.06477732793522267,0.04048582995951417,0.06477732793522267,0.020242914979757085
4 6,0.008097165991902834,0.024291497975708502,0.008097165991902834,0.024291497975708502,0.004048582995951417
5,0.008097165991902834,0.008097165991902834,0.012145748987854251,0.004048582995951417,0.0
