R:A::C:P,0 1,2 5,3,4
0 1,0.813953488372093,0.6,0.45454545454545453,0.0
2 5,0.18604651162790697,0.24,0.5454545454545454,0.0
3,0.0,0.12,0.0,0.0
4,0.0,0.04,0.0,1.0
