R:A::C:P,0 1,2 5,3,4
0 1,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.0
2 5,0.4,0.3,0.3,0.0
3,0.0,1.0,0.0,0.0
4,0.0,0.5,0.0,0.5
