R:A::C:P,0,1,2,3 4 5 6
0,0.3150684931506849,0.1780821917808219,0.0821917808219178,0.4246575342465753
1,0.21428571428571427,0.25,0.125,0.4107142857142857
2,0.13372093023255813,0.18023255813953487,0.1744186046511628,0.5116279069767442
3 4 5 6,0.1171875,0.12890625,0.13671875,0.6171875
