R:A::C:P,0,1,2,3 4 5 6
0,0.029449423815621,0.016645326504481434,0.0076824583866837385,0.03969270166453265
1,0.07682458386683738,0.08962868117797695,0.04481434058898848,0.147247119078105
2,0.029449423815621,0.03969270166453265,0.03841229193341869,0.11267605633802817
3 4 5 6,0.03841229193341869,0.04225352112676056,0.04481434058898848,0.2023047375160051
