name,overall,average
Emphasis-No-Others-Percentages,0.5568181818181818,0.5605774493705528
Emphasis-No-Others-Percentages-Twofold,0.5568181818181818,0.5605774493705528
Emphasis-No-Others-Counts,0.5568181818181818,0.5601532567049808
Emphasis-No-Others-Counts-Twofold,0.5568181818181818,0.5601532567049808
Emphasis-Vowels-Only-No-Others-Percentages,0.5454545454545454,0.5506294471811713
Emphasis-Vowels-Only-No-Others-Percentages-Twofold,0.5454545454545454,0.5506294471811713
No-Others-Counts,0.5340909090909091,0.5275862068965518
No-Others-Counts-Twofold,0.5340909090909091,0.5275862068965518
Vowels-Only-No-Others-Percentages,0.5227272727272727,0.5248221127531472
Vowels-Only-No-Others-Percentages-Twofold,0.5227272727272727,0.5248221127531472
Emphasis-Vowels-Only-No-Others-Counts,0.5113636363636364,0.5157224958949097
Emphasis-Vowels-Only-No-Others-Counts-Twofold,0.5113636363636364,0.5157224958949097
Min-250-Counts,0.6954954954954955,0.5149239643144761
Min-100-Counts,0.8053204353083434,0.5145142920817584
Min-1000-Counts,0.5229007633587787,0.5092204857632627
All-Counts,0.9008825526137135,0.5076195737226796
Emphasis-Min-1000-Counts,0.5038167938931297,0.5057592555488769
Emphasis-All-Counts,0.8879837067209776,0.5044115271528753
Emphasis-All-Percentages-Twofold,0.4860828241683639,0.5034775079582436
Min-500-Counts,0.6055979643765903,0.5024249994644732
Emphasis-Min-250-Counts,0.6810810810810811,0.5010015635949087
Emphasis-All-Percentages,0.38357094365241007,0.49489753576022716
Emphasis-Min-500-Counts,0.6055979643765903,0.4929797785060943
Vowels-Only-No-Others-Counts,0.5,0.4887383689107827
Vowels-Only-No-Others-Counts-Twofold,0.5,0.4887383689107827
No-Others-Percentages,0.48863636363636365,0.4835796387520525
No-Others-Percentages-Twofold,0.48863636363636365,0.4835796387520525
Emphasis-Min-100-Counts,0.7835550181378477,0.4790285118058731
Emphasis-Min-1000-Percentages,0.44274809160305345,0.46892962888755313
Emphasis-Min-100-Percentages,0.4486094316807739,0.46763341302321815
Emphasis-Vowels-Only-All-Percentages,0.2987101154107264,0.4668498396495409
All-Counts-Twofold,0.9185336048879837,0.4661051066137895
Emphasis-All-Counts-Twofold,0.9151391717583164,0.4603543493209558
Min-250-Percentages,0.43783783783783786,0.46000439270810456
Emphasis-Vowels-Only-All-Counts,0.9185336048879837,0.4575683341928829
Emphasis-Vowels-Only-Min-250-Counts,0.7477477477477478,0.4564755838641189
Emphasis-Min-250-Counts-Twofold,0.7585585585585586,0.45430315438277225
Emphasis-Min-500-Counts-Twofold,0.6895674300254453,0.4542088394062078
Emphasis-Vowels-Only-Min-100-Counts,0.8307134220072552,0.4537455934195065
Min-250-Counts-Twofold,0.772972972972973,0.4522686507064939
Vowels-Only-Min-250-Counts,0.7639639639639639,0.45053836821352744
Min-100-Counts-Twofold,0.8428053204353083,0.4503773451112282
Emphasis-Min-100-Percentages-Twofold,0.6033857315598549,0.4497541287271422
Emphasis-Vowels-Only-All-Percentages-Twofold,0.451459606245757,0.4496385445750564
Min-100-Percentages,0.45102781136638453,0.4487234664521021
Vowels-Only-All-Counts,0.9205702647657841,0.4482884218669417
Vowels-Only-All-Percentages-Twofold,0.49966055668703324,0.44705189308388604
Emphasis-Min-500-Percentages-Twofold,0.5725190839694656,0.4462958946511578
Min-500-Counts-Twofold,0.6946564885496184,0.4441154970760234
Emphasis-Min-1000-Percentages-Twofold,0.5343511450381679,0.4436174002092656
Emphasis-Min-1000-Counts-Twofold,0.5725190839694656,0.44261893630757587
Min-1000-Percentages,0.4198473282442748,0.4422816625481422
Emphasis-Vowels-Only-Min-500-Counts,0.6513994910941476,0.4421896086369771
Emphasis-Min-100-Counts-Twofold,0.8355501813784765,0.4408385093167702
Vowels-Only-Min-100-Counts,0.845223700120919,0.4398145039449387
Emphasis-Vowels-Only-Min-1000-Percentages,0.3702290076335878,0.4396652864044168
All-Percentages-Twofold,0.5139171758316361,0.43912851303847816
Min-1000-Percentages-Twofold,0.5534351145038168,0.4375531512277655
Emphasis-Min-250-Percentages,0.4252252252252252,0.4358984918368841
Vowels-Only-Min-100-Percentages-Twofold,0.5695284159613059,0.43361229616851804
Min-100-Percentages-Twofold,0.6021765417170496,0.43355737671704686
