R:A::C:P,0,1 3,2,4 5 6
0,0.4666666666666667,0.18333333333333332,0.06666666666666667,0.2833333333333333
1 3,0.2553191489361702,0.2765957446808511,0.14361702127659576,0.324468085106383
2,0.12345679012345678,0.30864197530864196,0.16049382716049382,0.4074074074074074
4 5 6,0.14893617021276595,0.1702127659574468,0.14893617021276595,0.5319148936170213
