R:A::C:P,0 1,2,3,4 5 6
0 1,0.5102040816326531,0.17006802721088435,0.08503401360544217,0.23469387755102042
2,0.3333333333333333,0.21621621621621623,0.1891891891891892,0.26126126126126126
3,0.17647058823529413,0.2647058823529412,0.14705882352941177,0.4117647058823529
4 5 6,0.26436781609195403,0.12643678160919541,0.12643678160919541,0.4827586206896552
