                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   012-3-4-5-6   57.86%     26.80%     21.59%     6.94%   
                   0-123-4-5-6   55.97%     30.72%     27.60%     13.93%  
                   01-23-4-5-6   52.83%     30.84%     27.36%     14.35%  
                   01-2-34-5-6   47.17%     28.61%     24.31%     11.74%  
                   01-2-3-4-56   45.28%     33.37%     27.40%     14.71%  
                   01-2-3-45-6   44.65%     26.92%     23.71%     10.38%  
                   0-1-234-5-6   42.14%     28.19%     26.58%     13.06%  
                   0-12-34-5-6   42.14%     30.46%     24.90%     12.10%  
                   0-12-3-4-56   40.25%     35.22%     28.00%     15.06%  
                   0-12-3-45-6   39.62%     28.77%     24.31%     10.73%  
                   0-1-23-4-56   38.99%     37.98%     32.28%     19.45%  
                   0-1-23-45-6   38.36%     31.53%     28.59%     15.12%  
                   0-1-2-34-56   33.33%     35.75%     29.23%     16.84%  
                   0-1-2-345-6   33.33%     30.67%     26.67%     13.56%  
                   0-1-2-3-456   30.82%     31.43%     27.19%     13.81%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-23-4-56   38.99%     37.98%     32.28%     19.45%  
                   0-1-2-34-56   33.33%     35.75%     29.23%     16.84%  
                   0-12-3-4-56   40.25%     35.22%     28.00%     15.06%  
                   01-2-3-4-56   45.28%     33.37%     27.40%     14.71%  
                   0-1-23-45-6   38.36%     31.53%     28.59%     15.12%  
                   0-1-2-3-456   30.82%     31.43%     27.19%     13.81%  
                   01-23-4-5-6   52.83%     30.84%     27.36%     14.35%  
                   0-123-4-5-6   55.97%     30.72%     27.60%     13.93%  
                   0-1-2-345-6   33.33%     30.67%     26.67%     13.56%  
                   0-12-34-5-6   42.14%     30.46%     24.90%     12.10%  
                   0-12-3-45-6   39.62%     28.77%     24.31%     10.73%  
                   01-2-34-5-6   47.17%     28.61%     24.31%     11.74%  
                   0-1-234-5-6   42.14%     28.19%     26.58%     13.06%  
                   01-2-3-45-6   44.65%     26.92%     23.71%     10.38%  
                   012-3-4-5-6   57.86%     26.80%     21.59%     6.94%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-23-4-56   38.99%     37.98%     32.28%     19.45%  
                   0-1-2-34-56   33.33%     35.75%     29.23%     16.84%  
                   0-1-23-45-6   38.36%     31.53%     28.59%     15.12%  
                   0-12-3-4-56   40.25%     35.22%     28.00%     15.06%  
                   0-123-4-5-6   55.97%     30.72%     27.60%     13.93%  
                   01-2-3-4-56   45.28%     33.37%     27.40%     14.71%  
                   01-23-4-5-6   52.83%     30.84%     27.36%     14.35%  
                   0-1-2-3-456   30.82%     31.43%     27.19%     13.81%  
                   0-1-2-345-6   33.33%     30.67%     26.67%     13.56%  
                   0-1-234-5-6   42.14%     28.19%     26.58%     13.06%  
                   0-12-34-5-6   42.14%     30.46%     24.90%     12.10%  
                   0-12-3-45-6   39.62%     28.77%     24.31%     10.73%  
                   01-2-34-5-6   47.17%     28.61%     24.31%     11.74%  
                   01-2-3-45-6   44.65%     26.92%     23.71%     10.38%  
                   012-3-4-5-6   57.86%     26.80%     21.59%     6.94%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-23-4-56   38.99%     37.98%     32.28%     19.45%  
                   0-1-2-34-56   33.33%     35.75%     29.23%     16.84%  
                   0-1-23-45-6   38.36%     31.53%     28.59%     15.12%  
                   0-12-3-4-56   40.25%     35.22%     28.00%     15.06%  
                   01-2-3-4-56   45.28%     33.37%     27.40%     14.71%  
                   01-23-4-5-6   52.83%     30.84%     27.36%     14.35%  
                   0-123-4-5-6   55.97%     30.72%     27.60%     13.93%  
                   0-1-2-3-456   30.82%     31.43%     27.19%     13.81%  
                   0-1-2-345-6   33.33%     30.67%     26.67%     13.56%  
                   0-1-234-5-6   42.14%     28.19%     26.58%     13.06%  
                   0-12-34-5-6   42.14%     30.46%     24.90%     12.10%  
                   01-2-34-5-6   47.17%     28.61%     24.31%     11.74%  
                   0-12-3-45-6   39.62%     28.77%     24.31%     10.73%  
                   01-2-3-45-6   44.65%     26.92%     23.71%     10.38%  
                   012-3-4-5-6   57.86%     26.80%     21.59%     6.94%   
