R:A::C:P,0 1 2,3,4 5 6
0 1 2,0.9157894736842105,0.8064516129032258,0.8181818181818182
3,0.031578947368421054,0.06451612903225806,0.06060606060606061
4 5 6,0.05263157894736842,0.12903225806451613,0.12121212121212122
