R:A::C:P,0,1,2 5,3,4 6
0,0.5,0.11904761904761904,0.11904761904761904,0.07142857142857142,0.19047619047619047
1,0.2894736842105263,0.12280701754385964,0.2543859649122807,0.11403508771929824,0.21929824561403508
2 5,0.14516129032258066,0.12903225806451613,0.2903225806451613,0.16129032258064516,0.27419354838709675
3,0.0,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.16666666666666666
4 6,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.29411764705882354,0.35294117647058826
