R:A::C:P,0,1,2 5,3,4 6
0,0.3230769230769231,0.1724137931034483,0.08333333333333333,0.08571428571428572,0.13793103448275862
1,0.5076923076923077,0.4827586206896552,0.48333333333333334,0.37142857142857144,0.43103448275862066
2 5,0.13846153846153847,0.27586206896551724,0.3,0.2857142857142857,0.29310344827586204
3,0.0,0.034482758620689655,0.08333333333333333,0.11428571428571428,0.034482758620689655
4 6,0.03076923076923077,0.034482758620689655,0.05,0.14285714285714285,0.10344827586206896
