R:A::C:P,0,1 4 5,2 3,6
0,0.3010752688172043,0.14184397163120568,0.07954545454545454,0.09259259259259259
1 4 5,0.5698924731182796,0.475177304964539,0.5340909090909091,0.5555555555555556
2 3,0.11827956989247312,0.3120567375886525,0.3409090909090909,0.3333333333333333
6,0.010752688172043012,0.07092198581560284,0.045454545454545456,0.018518518518518517
