                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    01-25-36-4   58.73%     50.03%     40.90%     26.51%  
                    0-125-36-4   55.56%     49.56%     39.65%     23.53%  
                    025-1-36-4   48.41%     47.15%     37.83%     21.03%  
                    0-1-2356-4   47.62%     44.28%     40.20%     24.13%  
                    0-136-25-4   46.83%     41.43%     38.53%     20.02%  
                    04-1-25-36   46.03%     52.14%     43.81%     28.32%  
                    0-14-25-36   45.24%     50.25%     42.68%     25.03%  
                    0-1-245-36   44.44%     50.53%     42.52%     26.23%  
                    0-1-25-346   43.65%     49.69%     42.42%     26.71%  
                    036-1-25-4   42.06%     39.28%     35.98%     17.99%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    04-1-25-36   46.03%     52.14%     43.81%     28.32%  
                    0-1-245-36   44.44%     50.53%     42.52%     26.23%  
                    0-14-25-36   45.24%     50.25%     42.68%     25.03%  
                    01-25-36-4   58.73%     50.03%     40.90%     26.51%  
                    0-1-25-346   43.65%     49.69%     42.42%     26.71%  
                    0-125-36-4   55.56%     49.56%     39.65%     23.53%  
                    025-1-36-4   48.41%     47.15%     37.83%     21.03%  
                    0-1-2356-4   47.62%     44.28%     40.20%     24.13%  
                    0-136-25-4   46.83%     41.43%     38.53%     20.02%  
                    036-1-25-4   42.06%     39.28%     35.98%     17.99%  


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    04-1-25-36   46.03%     52.14%     43.81%     28.32%  
                    0-14-25-36   45.24%     50.25%     42.68%     25.03%  
                    0-1-245-36   44.44%     50.53%     42.52%     26.23%  
                    0-1-25-346   43.65%     49.69%     42.42%     26.71%  
                    01-25-36-4   58.73%     50.03%     40.90%     26.51%  
                    0-1-2356-4   47.62%     44.28%     40.20%     24.13%  
                    0-125-36-4   55.56%     49.56%     39.65%     23.53%  
                    0-136-25-4   46.83%     41.43%     38.53%     20.02%  
                    025-1-36-4   48.41%     47.15%     37.83%     21.03%  
                    036-1-25-4   42.06%     39.28%     35.98%     17.99%  


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                    04-1-25-36   46.03%     52.14%     43.81%     28.32%  
                    0-1-25-346   43.65%     49.69%     42.42%     26.71%  
                    01-25-36-4   58.73%     50.03%     40.90%     26.51%  
                    0-1-245-36   44.44%     50.53%     42.52%     26.23%  
                    0-14-25-36   45.24%     50.25%     42.68%     25.03%  
                    0-1-2356-4   47.62%     44.28%     40.20%     24.13%  
                    0-125-36-4   55.56%     49.56%     39.65%     23.53%  
                    025-1-36-4   48.41%     47.15%     37.83%     21.03%  
                    0-136-25-4   46.83%     41.43%     38.53%     20.02%  
                    036-1-25-4   42.06%     39.28%     35.98%     17.99%  
