                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0123-4-5-6   63.69%     24.03%     25.04%     4.07%   
                    012-3-45-6   54.56%     31.69%     29.82%     9.98%   
                    012-3-4-56   53.42%     25.74%     25.57%     5.12%   
                    012-34-5-6   52.66%     24.96%     25.38%     4.57%   
                    0-1234-5-6   50.76%     30.32%     28.57%     6.29%   
                    01-234-5-6   44.68%     29.55%     29.64%     8.75%   
                    0-123-45-6   44.30%     34.60%     31.04%     10.73%  
                    01-23-45-6   43.73%     34.83%     33.47%     13.69%  
                    0-123-4-56   43.16%     28.65%     26.80%     5.86%   
                    01-23-4-56   42.59%     28.88%     29.22%     8.82%   
                    01-2-3-456   42.02%     33.91%     31.88%     12.20%  
                    01-2-345-6   41.25%     33.98%     32.30%     12.30%  
                    0-12-3-456   38.40%     35.46%     30.67%     11.36%  
                    0-12-345-6   37.64%     35.54%     31.09%     11.46%  
                    01-2-34-56   37.45%     27.56%     27.52%     6.40%   
                    0-1-2345-6   36.88%     35.20%     31.34%     11.76%  
                    0-12-34-56   33.84%     29.12%     26.32%     5.55%   
                    0-1-23-456   32.70%     37.29%     32.48%     13.62%  
                    0-1-2-3456   31.75%     35.33%     30.50%     11.63%  
                    0-1-234-56   30.99%     32.39%     28.73%     8.28%   


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0-1-23-456   32.70%     37.29%     32.48%     13.62%  
                    0-12-345-6   37.64%     35.54%     31.09%     11.46%  
                    0-12-3-456   38.40%     35.46%     30.67%     11.36%  
                    0-1-2-3456   31.75%     35.33%     30.50%     11.63%  
                    0-1-2345-6   36.88%     35.20%     31.34%     11.76%  
                    01-23-45-6   43.73%     34.83%     33.47%     13.69%  
                    0-123-45-6   44.30%     34.60%     31.04%     10.73%  
                    01-2-345-6   41.25%     33.98%     32.30%     12.30%  
                    01-2-3-456   42.02%     33.91%     31.88%     12.20%  
                    0-1-234-56   30.99%     32.39%     28.73%     8.28%   
                    012-3-45-6   54.56%     31.69%     29.82%     9.98%   
                    0-1234-5-6   50.76%     30.32%     28.57%     6.29%   
                    01-234-5-6   44.68%     29.55%     29.64%     8.75%   
                    0-12-34-56   33.84%     29.12%     26.32%     5.55%   
                    01-23-4-56   42.59%     28.88%     29.22%     8.82%   
                    0-123-4-56   43.16%     28.65%     26.80%     5.86%   
                    01-2-34-56   37.45%     27.56%     27.52%     6.40%   
                    012-3-4-56   53.42%     25.74%     25.57%     5.12%   
                    012-34-5-6   52.66%     24.96%     25.38%     4.57%   
                    0123-4-5-6   63.69%     24.03%     25.04%     4.07%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    01-23-45-6   43.73%     34.83%     33.47%     13.69%  
                    0-1-23-456   32.70%     37.29%     32.48%     13.62%  
                    01-2-345-6   41.25%     33.98%     32.30%     12.30%  
                    01-2-3-456   42.02%     33.91%     31.88%     12.20%  
                    0-1-2345-6   36.88%     35.20%     31.34%     11.76%  
                    0-12-345-6   37.64%     35.54%     31.09%     11.46%  
                    0-123-45-6   44.30%     34.60%     31.04%     10.73%  
                    0-12-3-456   38.40%     35.46%     30.67%     11.36%  
                    0-1-2-3456   31.75%     35.33%     30.50%     11.63%  
                    012-3-45-6   54.56%     31.69%     29.82%     9.98%   
                    01-234-5-6   44.68%     29.55%     29.64%     8.75%   
                    01-23-4-56   42.59%     28.88%     29.22%     8.82%   
                    0-1-234-56   30.99%     32.39%     28.73%     8.28%   
                    0-1234-5-6   50.76%     30.32%     28.57%     6.29%   
                    01-2-34-56   37.45%     27.56%     27.52%     6.40%   
                    0-123-4-56   43.16%     28.65%     26.80%     5.86%   
                    0-12-34-56   33.84%     29.12%     26.32%     5.55%   
                    012-3-4-56   53.42%     25.74%     25.57%     5.12%   
                    012-34-5-6   52.66%     24.96%     25.38%     4.57%   
                    0123-4-5-6   63.69%     24.03%     25.04%     4.07%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                    01-23-45-6   43.73%     34.83%     33.47%     13.69%  
                    0-1-23-456   32.70%     37.29%     32.48%     13.62%  
                    01-2-345-6   41.25%     33.98%     32.30%     12.30%  
                    01-2-3-456   42.02%     33.91%     31.88%     12.20%  
                    0-1-2345-6   36.88%     35.20%     31.34%     11.76%  
                    0-1-2-3456   31.75%     35.33%     30.50%     11.63%  
                    0-12-345-6   37.64%     35.54%     31.09%     11.46%  
                    0-12-3-456   38.40%     35.46%     30.67%     11.36%  
                    0-123-45-6   44.30%     34.60%     31.04%     10.73%  
                    012-3-45-6   54.56%     31.69%     29.82%     9.98%   
                    01-23-4-56   42.59%     28.88%     29.22%     8.82%   
                    01-234-5-6   44.68%     29.55%     29.64%     8.75%   
                    0-1-234-56   30.99%     32.39%     28.73%     8.28%   
                    01-2-34-56   37.45%     27.56%     27.52%     6.40%   
                    0-1234-5-6   50.76%     30.32%     28.57%     6.29%   
                    0-123-4-56   43.16%     28.65%     26.80%     5.86%   
                    0-12-34-56   33.84%     29.12%     26.32%     5.55%   
                    012-3-4-56   53.42%     25.74%     25.57%     5.12%   
                    012-34-5-6   52.66%     24.96%     25.38%     4.57%   
                    0123-4-5-6   63.69%     24.03%     25.04%     4.07%   
