R:A::C:P,0,1 6,2 5,3 4
0,0.3230769230769231,0.14035087719298245,0.08333333333333333,0.12307692307692308
1 6,0.5230769230769231,0.47368421052631576,0.5,0.4461538461538462
2 5,0.13846153846153847,0.3333333333333333,0.3,0.24615384615384617
3 4,0.015384615384615385,0.05263157894736842,0.11666666666666667,0.18461538461538463
