R:A::C:P,0,1 5,2 3,4
0,0.36363636363636365,0.375,0.06060606060606061,0.0
1 5,0.45454545454545453,0.5,0.45454545454545453,0.0
2 3,0.18181818181818182,0.125,0.45454545454545453,0.0
4,0.0,0.0,0.030303030303030304,1.0
