R:A::C:P,0,1,2 5,3,4 6
0,0.053231939163498096,0.022813688212927757,0.028517110266159697,0.011406844106463879,0.013307984790874524
1,0.12737642585551331,0.0817490494296578,0.11216730038022814,0.03612167300380228,0.07224334600760456
2 5,0.043726235741444866,0.04182509505703422,0.06653992395437262,0.053231939163498096,0.055133079847908745
3,0.005703422053231939,0.005703422053231939,0.030418250950570342,0.009505703422053232,0.013307984790874524
4 6,0.017110266159695818,0.011406844106463879,0.03802281368821293,0.0076045627376425855,0.04182509505703422
