R:A::C:P,0 3,1,2,4,5 6
0 3,0.3333333333333333,0.17073170731707318,0.12195121951219512,0.14634146341463414,0.22764227642276422
1,0.325,0.25,0.125,0.08214285714285714,0.21785714285714286
2,0.27325581395348836,0.18023255813953487,0.1744186046511628,0.14534883720930233,0.22674418604651161
4,0.28205128205128205,0.02564102564102564,0.23076923076923078,0.1794871794871795,0.28205128205128205
5 6,0.24550898203592814,0.1437125748502994,0.10179640718562874,0.19760479041916168,0.31137724550898205
