R:A::C:P,0,1 2,3 4,5 6
0,0.4666666666666667,0.2,0.16666666666666666,0.16666666666666666
1 2,0.23076923076923078,0.3319838056680162,0.23076923076923078,0.20647773279352227
3 4,0.08333333333333333,0.25,0.4444444444444444,0.2222222222222222
5 6,0.15151515151515152,0.21212121212121213,0.3333333333333333,0.30303030303030304
