R:A::C:P,0,1,2 4,3 5
0,0.42105263157894735,0.3684210526315789,0.05263157894736842,0.15789473684210525
1,0.2777777777777778,0.2777777777777778,0.3055555555555556,0.1388888888888889
2 4,0.19047619047619047,0.14285714285714285,0.38095238095238093,0.2857142857142857
3 5,0.0,0.25,0.75,0.0
