R:A::C:P,0,1,2 4,3 5
0,0.36363636363636365,0.3333333333333333,0.043478260869565216,0.21428571428571427
1,0.45454545454545453,0.47619047619047616,0.4782608695652174,0.35714285714285715
2 4,0.18181818181818182,0.14285714285714285,0.34782608695652173,0.42857142857142855
3 5,0.0,0.047619047619047616,0.13043478260869565,0.0
