R:A::C:P,0 4 5 6,1,2,3
0 4 5 6,0.302158273381295,0.20689655172413793,0.20454545454545456,0.2857142857142857
1,0.4676258992805755,0.4827586206896552,0.5,0.37142857142857144
2,0.2014388489208633,0.27586206896551724,0.22727272727272727,0.22857142857142856
3,0.02877697841726619,0.034482758620689655,0.06818181818181818,0.11428571428571428
