R:A::C:P,0 4 5,1,2 3
0 4 5,0.4230769230769231,0.38095238095238093,0.09090909090909091
1,0.4230769230769231,0.47619047619047616,0.45454545454545453
2 3,0.15384615384615385,0.14285714285714285,0.45454545454545453
