                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     01234-5-6   88.05%     30.50%     31.32%     -0.15%  
                     0123-4-56   76.10%     46.55%     39.70%     11.10%  
                     0123-45-6   75.47%     35.80%     33.55%     3.89%   
                     0-12345-6   70.44%     42.15%     41.55%     16.67%  
                     0-1234-56   64.15%     45.47%     43.39%     18.32%  
                     012-34-56   61.01%     47.85%     37.49%     14.25%  
                     012-345-6   61.01%     39.38%     33.23%     8.78%   
                     01-2345-6   60.38%     42.77%     40.45%     18.83%  
                     012-3-456   58.49%     40.64%     34.09%     9.19%   
                     01-234-56   57.23%     46.19%     42.77%     20.89%  
                     0-123-456   56.60%     47.17%     44.11%     20.83%  
                     01-23-456   53.46%     47.37%     43.70%     21.54%  
                     01-2-3456   49.06%     46.26%     40.66%     19.32%  
                     0-1-23456   48.43%     50.69%     46.54%     25.69%  
                     0-12-3456   44.03%     49.33%     41.65%     19.91%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     0-1-23456   48.43%     50.69%     46.54%     25.69%  
                     0-12-3456   44.03%     49.33%     41.65%     19.91%  
                     012-34-56   61.01%     47.85%     37.49%     14.25%  
                     01-23-456   53.46%     47.37%     43.70%     21.54%  
                     0-123-456   56.60%     47.17%     44.11%     20.83%  
                     0123-4-56   76.10%     46.55%     39.70%     11.10%  
                     01-2-3456   49.06%     46.26%     40.66%     19.32%  
                     01-234-56   57.23%     46.19%     42.77%     20.89%  
                     0-1234-56   64.15%     45.47%     43.39%     18.32%  
                     01-2345-6   60.38%     42.77%     40.45%     18.83%  
                     0-12345-6   70.44%     42.15%     41.55%     16.67%  
                     012-3-456   58.49%     40.64%     34.09%     9.19%   
                     012-345-6   61.01%     39.38%     33.23%     8.78%   
                     0123-45-6   75.47%     35.80%     33.55%     3.89%   
                     01234-5-6   88.05%     30.50%     31.32%     -0.15%  


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     0-1-23456   48.43%     50.69%     46.54%     25.69%  
                     0-123-456   56.60%     47.17%     44.11%     20.83%  
                     01-23-456   53.46%     47.37%     43.70%     21.54%  
                     0-1234-56   64.15%     45.47%     43.39%     18.32%  
                     01-234-56   57.23%     46.19%     42.77%     20.89%  
                     0-12-3456   44.03%     49.33%     41.65%     19.91%  
                     0-12345-6   70.44%     42.15%     41.55%     16.67%  
                     01-2-3456   49.06%     46.26%     40.66%     19.32%  
                     01-2345-6   60.38%     42.77%     40.45%     18.83%  
                     0123-4-56   76.10%     46.55%     39.70%     11.10%  
                     012-34-56   61.01%     47.85%     37.49%     14.25%  
                     012-3-456   58.49%     40.64%     34.09%     9.19%   
                     0123-45-6   75.47%     35.80%     33.55%     3.89%   
                     012-345-6   61.01%     39.38%     33.23%     8.78%   
                     01234-5-6   88.05%     30.50%     31.32%     -0.15%  


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                     0-1-23456   48.43%     50.69%     46.54%     25.69%  
                     01-23-456   53.46%     47.37%     43.70%     21.54%  
                     01-234-56   57.23%     46.19%     42.77%     20.89%  
                     0-123-456   56.60%     47.17%     44.11%     20.83%  
                     0-12-3456   44.03%     49.33%     41.65%     19.91%  
                     01-2-3456   49.06%     46.26%     40.66%     19.32%  
                     01-2345-6   60.38%     42.77%     40.45%     18.83%  
                     0-1234-56   64.15%     45.47%     43.39%     18.32%  
                     0-12345-6   70.44%     42.15%     41.55%     16.67%  
                     012-34-56   61.01%     47.85%     37.49%     14.25%  
                     0123-4-56   76.10%     46.55%     39.70%     11.10%  
                     012-3-456   58.49%     40.64%     34.09%     9.19%   
                     012-345-6   61.01%     39.38%     33.23%     8.78%   
                     0123-45-6   75.47%     35.80%     33.55%     3.89%   
                     01234-5-6   88.05%     30.50%     31.32%     -0.15%  
