                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   012-3-4-5-6   51.33%     29.17%     23.45%     9.06%   
                   0-123-4-5-6   41.49%     32.81%     25.94%     12.06%  
                   01-23-4-5-6   41.22%     30.69%     25.72%     11.44%  
                   01-2-3-4-56   39.10%     32.09%     25.55%     11.64%  
                   01-2-34-5-6   39.10%     26.97%     24.35%     9.64%   
                   01-2-3-45-6   37.77%     24.37%     22.50%     7.42%   
                   0-12-3-4-56   34.57%     34.76%     26.06%     12.70%  
                   0-12-34-5-6   34.57%     29.64%     24.86%     10.70%  
                   0-12-3-45-6   33.24%     27.05%     23.01%     8.47%   
                   0-1-234-5-6   31.65%     27.42%     24.81%     9.40%   
                   0-1-23-4-56   28.19%     34.95%     26.63%     12.78%  
                   0-1-2-345-6   26.86%     28.09%     23.85%     9.36%   
                   0-1-23-45-6   26.86%     27.24%     23.58%     8.56%   
                   0-1-2-3-456   26.60%     29.64%     24.27%     9.96%   
                   0-1-2-34-56   26.06%     31.23%     25.27%     10.99%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-23-4-56   28.19%     34.95%     26.63%     12.78%  
                   0-12-3-4-56   34.57%     34.76%     26.06%     12.70%  
                   0-123-4-5-6   41.49%     32.81%     25.94%     12.06%  
                   01-2-3-4-56   39.10%     32.09%     25.55%     11.64%  
                   0-1-2-34-56   26.06%     31.23%     25.27%     10.99%  
                   01-23-4-5-6   41.22%     30.69%     25.72%     11.44%  
                   0-1-2-3-456   26.60%     29.64%     24.27%     9.96%   
                   0-12-34-5-6   34.57%     29.64%     24.86%     10.70%  
                   012-3-4-5-6   51.33%     29.17%     23.45%     9.06%   
                   0-1-2-345-6   26.86%     28.09%     23.85%     9.36%   
                   0-1-234-5-6   31.65%     27.42%     24.81%     9.40%   
                   0-1-23-45-6   26.86%     27.24%     23.58%     8.56%   
                   0-12-3-45-6   33.24%     27.05%     23.01%     8.47%   
                   01-2-34-5-6   39.10%     26.97%     24.35%     9.64%   
                   01-2-3-45-6   37.77%     24.37%     22.50%     7.42%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-23-4-56   28.19%     34.95%     26.63%     12.78%  
                   0-12-3-4-56   34.57%     34.76%     26.06%     12.70%  
                   0-123-4-5-6   41.49%     32.81%     25.94%     12.06%  
                   01-23-4-5-6   41.22%     30.69%     25.72%     11.44%  
                   01-2-3-4-56   39.10%     32.09%     25.55%     11.64%  
                   0-1-2-34-56   26.06%     31.23%     25.27%     10.99%  
                   0-12-34-5-6   34.57%     29.64%     24.86%     10.70%  
                   0-1-234-5-6   31.65%     27.42%     24.81%     9.40%   
                   01-2-34-5-6   39.10%     26.97%     24.35%     9.64%   
                   0-1-2-3-456   26.60%     29.64%     24.27%     9.96%   
                   0-1-2-345-6   26.86%     28.09%     23.85%     9.36%   
                   0-1-23-45-6   26.86%     27.24%     23.58%     8.56%   
                   012-3-4-5-6   51.33%     29.17%     23.45%     9.06%   
                   0-12-3-45-6   33.24%     27.05%     23.01%     8.47%   
                   01-2-3-45-6   37.77%     24.37%     22.50%     7.42%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                   0-1-23-4-56   28.19%     34.95%     26.63%     12.78%  
                   0-12-3-4-56   34.57%     34.76%     26.06%     12.70%  
                   0-123-4-5-6   41.49%     32.81%     25.94%     12.06%  
                   01-2-3-4-56   39.10%     32.09%     25.55%     11.64%  
                   01-23-4-5-6   41.22%     30.69%     25.72%     11.44%  
                   0-1-2-34-56   26.06%     31.23%     25.27%     10.99%  
                   0-12-34-5-6   34.57%     29.64%     24.86%     10.70%  
                   0-1-2-3-456   26.60%     29.64%     24.27%     9.96%   
                   01-2-34-5-6   39.10%     26.97%     24.35%     9.64%   
                   0-1-234-5-6   31.65%     27.42%     24.81%     9.40%   
                   0-1-2-345-6   26.86%     28.09%     23.85%     9.36%   
                   012-3-4-5-6   51.33%     29.17%     23.45%     9.06%   
                   0-1-23-45-6   26.86%     27.24%     23.58%     8.56%   
                   0-12-3-45-6   33.24%     27.05%     23.01%     8.47%   
                   01-2-3-45-6   37.77%     24.37%     22.50%     7.42%   
