R:A::C:P,0 2,1,3 4 5
0 2,0.4318181818181818,0.47619047619047616,0.6
1,0.4772727272727273,0.47619047619047616,0.3333333333333333
3 4 5,0.09090909090909091,0.047619047619047616,0.06666666666666667
