R:A::C:P,0,1 3,2,4 5,6
0,0.4666666666666667,0.18333333333333332,0.06666666666666667,0.2,0.08333333333333333
1 3,0.2553191489361702,0.2765957446808511,0.14361702127659576,0.18085106382978725,0.14361702127659576
2,0.12345679012345678,0.30864197530864196,0.16049382716049382,0.20987654320987653,0.19753086419753085
4 5,0.1935483870967742,0.16129032258064516,0.12903225806451613,0.3548387096774194,0.16129032258064516
6,0.0625,0.1875,0.1875,0.5,0.0625
