R:A::C:P,0,1 3 5,2 6,4
0,0.4666666666666667,0.26666666666666666,0.15,0.11666666666666667
1 3 5,0.25365853658536586,0.32682926829268294,0.28780487804878047,0.13170731707317074
2 6,0.1134020618556701,0.38144329896907214,0.3402061855670103,0.16494845360824742
4,0.14285714285714285,0.07142857142857142,0.2857142857142857,0.5
