R:A::C:P,0 5 6,1,2,3,4
0 5 6,0.39285714285714285,0.17857142857142858,0.12,0.12903225806451613,0.3684210526315789
1,0.4107142857142857,0.6428571428571429,0.44,0.3870967741935484,0.3157894736842105
2,0.17857142857142858,0.14285714285714285,0.32,0.3548387096774194,0.05263157894736842
3,0.0,0.03571428571428571,0.08,0.06451612903225806,0.10526315789473684
4,0.017857142857142856,0.0,0.04,0.06451612903225806,0.15789473684210525
