R:A::C:P,0 1 4,2 5,3 6
0 1 4,0.5238095238095238,0.1349206349206349,0.05555555555555555
2 5,0.0873015873015873,0.10317460317460317,0.047619047619047616
3 6,0.007936507936507936,0.007936507936507936,0.031746031746031744
