R:A::C:P,0,1,2,3,4,5,p
0,0.0,0.6842105263157895,0.05263157894736842,0.05263157894736842,0.0,0.10526315789473684,0.10526315789473684
1,0.3611111111111111,0.0,0.3888888888888889,0.1111111111111111,0.0,0.027777777777777776,0.1111111111111111
2,0.15789473684210525,0.3157894736842105,0.0,0.3157894736842105,0.0,0.0,0.21052631578947367
3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.5,0.5,0.0,0.0,0.0
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0
p,0.5,0.0,0.5,0.0,0.0,0.0,0.0
