R:A::C:P,0,1,2,3,4,5,p
0,0.0,0.65,0.05,0.08333333333333333,0.0,0.6666666666666666,0.2
1,0.7647058823529411,0.0,0.7,0.3333333333333333,0.0,0.3333333333333333,0.4
2,0.17647058823529413,0.3,0.0,0.5,0.0,0.0,0.4
3,0.0,0.0,0.15,0.0,0.0,0.0,0.0
4,0.0,0.0,0.05,0.08333333333333333,0.0,0.0,0.0
5,0.0,0.05,0.0,0.0,0.0,0.0,0.0
p,0.058823529411764705,0.0,0.05,0.0,0.0,0.0,0.0
