R:A::C:P,0,1,2,3,4,5,p
0,0,13,1,1,0,2,2
1,13,0,14,4,0,1,4
2,3,6,0,6,0,0,4
3,0,0,3,0,0,0,0
4,0,0,1,1,0,0,0
5,0,1,0,0,0,0,0
p,1,0,1,0,0,0,0
