R:A::C:P,0,1 4 6,2,3 5
0,0.40476190476190477,0.24,0.08,0.09523809523809523
1 4 6,0.47619047619047616,0.54,0.48,0.47619047619047616
2,0.09523809523809523,0.14,0.32,0.35714285714285715
3 5,0.023809523809523808,0.08,0.12,0.07142857142857142
