R:A::C:P,0,1,2,3,4,5,6
0,0,26,9,5,17,10,6
1,91,0,43,49,24,28,45
2,27,36,0,35,31,30,13
3,4,10,13,0,6,9,8
4,7,2,10,4,0,10,6
5,9,8,8,7,14,0,11
6,12,18,13,23,29,15,0
