R:A::C:P,0 1,2 4,3,5
0 1,0.6363636363636364,0.21818181818181817,0.09090909090909091,0.05454545454545454
2 4,0.3333333333333333,0.38095238095238093,0.2857142857142857,0.0
3,0.0,1.0,0.0,0.0
5,1.0,0.0,0.0,0.0
