R:A::C:P,0 1,2 4,3,5
0 1,0.813953488372093,0.5217391304347826,0.45454545454545453,1.0
2 4,0.16279069767441862,0.34782608695652173,0.5454545454545454,0.0
3,0.0,0.13043478260869565,0.0,0.0
5,0.023255813953488372,0.0,0.0,0.0
