R:A::C:P,0 4,1 6,2,3,5
0 4,0.4217687074829932,0.21768707482993196,0.1564625850340136,0.10884353741496598,0.09523809523809523
1 6,0.31865284974093266,0.3432642487046632,0.10233160621761658,0.11528497409326424,0.12046632124352331
2,0.26545454545454544,0.32,0.14909090909090908,0.14181818181818182,0.12363636363636364
3,0.3137254901960784,0.23529411764705882,0.14705882352941177,0.14705882352941177,0.1568627450980392
5,0.3229166666666667,0.23958333333333334,0.10416666666666667,0.19791666666666666,0.13541666666666666
