R:A::C:P,0 3,1,2 4 5 6
0 3,0.4117647058823529,0.14705882352941177,0.4411764705882353
1,0.3805309734513274,0.1902654867256637,0.42920353982300885
2 4 5 6,0.32323232323232326,0.1414141414141414,0.5353535353535354
