R:A::C:P,0,1 6,2 3 5,4
0,0.5,0.19047619047619047,0.19047619047619047,0.11904761904761904
1 6,0.2833333333333333,0.225,0.38333333333333336,0.10833333333333334
2 3 5,0.12162162162162163,0.28378378378378377,0.5,0.0945945945945946
4,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.45454545454545453
