R:A::C:P,0 4 5 6,1,2,3
0 4 5 6,0.1844106463878327,0.03802281368821293,0.039923954372623575,0.03231939163498099
1,0.23574144486692014,0.0817490494296578,0.07604562737642585,0.03612167300380228
2,0.08745247148288973,0.03802281368821293,0.045627376425855515,0.039923954372623575
3,0.03231939163498099,0.005703422053231939,0.017110266159695818,0.009505703422053232
