R:A::C:P,0 1 4 5,2,3 6
0 1 4 5,0.3764404609475032,0.07042253521126761,0.12804097311139565
2,0.13444302176696543,0.03841229193341869,0.04737516005121639
3 6,0.117797695262484,0.026888604353393086,0.06017925736235595
