                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     01234-5-6   74.14%     34.71%     35.02%     3.56%   
                     0123-45-6   66.16%     40.70%     38.84%     11.89%  
                     0123-4-56   65.02%     32.77%     33.17%     5.40%   
                     0-12345-6   61.98%     43.89%     40.97%     12.24%  
                     012-3-456   58.56%     42.48%     39.43%     13.82%  
                     012-345-6   57.79%     42.58%     39.99%     13.95%  
                     012-34-56   53.99%     34.02%     33.62%     6.08%   
                     0-1234-56   52.09%     41.16%     37.88%     8.36%   
                     01-2345-6   51.90%     43.87%     42.78%     16.27%  
                     0-123-456   48.29%     46.35%     41.06%     14.81%  
                     01-23-456   47.72%     46.66%     44.29%     18.76%  
                     01-2-3456   46.77%     44.05%     41.66%     16.11%  
                     01-234-56   46.01%     40.13%     39.30%     11.64%  
                     0-1-23456   45.06%     43.92%     39.03%     14.59%  
                     0-12-3456   43.16%     46.12%     40.05%     14.98%  


                               Average Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     01-23-456   47.72%     46.66%     44.29%     18.76%  
                     0-123-456   48.29%     46.35%     41.06%     14.81%  
                     0-12-3456   43.16%     46.12%     40.05%     14.98%  
                     01-2-3456   46.77%     44.05%     41.66%     16.11%  
                     0-1-23456   45.06%     43.92%     39.03%     14.59%  
                     0-12345-6   61.98%     43.89%     40.97%     12.24%  
                     01-2345-6   51.90%     43.87%     42.78%     16.27%  
                     012-345-6   57.79%     42.58%     39.99%     13.95%  
                     012-3-456   58.56%     42.48%     39.43%     13.82%  
                     0-1234-56   52.09%     41.16%     37.88%     8.36%   
                     0123-45-6   66.16%     40.70%     38.84%     11.89%  
                     01-234-56   46.01%     40.13%     39.30%     11.64%  
                     01234-5-6   74.14%     34.71%     35.02%     3.56%   
                     012-34-56   53.99%     34.02%     33.62%     6.08%   
                     0123-4-56   65.02%     32.77%     33.17%     5.40%   


                               Average F1 Score:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                     01-23-456   47.72%     46.66%     44.29%     18.76%  
                     01-2345-6   51.90%     43.87%     42.78%     16.27%  
                     01-2-3456   46.77%     44.05%     41.66%     16.11%  
                     0-123-456   48.29%     46.35%     41.06%     14.81%  
                     0-12345-6   61.98%     43.89%     40.97%     12.24%  
                     0-12-3456   43.16%     46.12%     40.05%     14.98%  
                     012-345-6   57.79%     42.58%     39.99%     13.95%  
                     012-3-456   58.56%     42.48%     39.43%     13.82%  
                     01-234-56   46.01%     40.13%     39.30%     11.64%  
                     0-1-23456   45.06%     43.92%     39.03%     14.59%  
                     0123-45-6   66.16%     40.70%     38.84%     11.89%  
                     0-1234-56   52.09%     41.16%     37.88%     8.36%   
                     01234-5-6   74.14%     34.71%     35.02%     3.56%   
                     012-34-56   53.99%     34.02%     33.62%     6.08%   
                     0123-4-56   65.02%     32.77%     33.17%     5.40%   


                   Average Matthews Correlation Coefficient:                    

                      Grouping  Overall    Average    F1 Score     MCC    
                     01-23-456   47.72%     46.66%     44.29%     18.76%  
                     01-2345-6   51.90%     43.87%     42.78%     16.27%  
                     01-2-3456   46.77%     44.05%     41.66%     16.11%  
                     0-12-3456   43.16%     46.12%     40.05%     14.98%  
                     0-123-456   48.29%     46.35%     41.06%     14.81%  
                     0-1-23456   45.06%     43.92%     39.03%     14.59%  
                     012-345-6   57.79%     42.58%     39.99%     13.95%  
                     012-3-456   58.56%     42.48%     39.43%     13.82%  
                     0-12345-6   61.98%     43.89%     40.97%     12.24%  
                     0123-45-6   66.16%     40.70%     38.84%     11.89%  
                     01-234-56   46.01%     40.13%     39.30%     11.64%  
                     0-1234-56   52.09%     41.16%     37.88%     8.36%   
                     012-34-56   53.99%     34.02%     33.62%     6.08%   
                     0123-4-56   65.02%     32.77%     33.17%     5.40%   
                     01234-5-6   74.14%     34.71%     35.02%     3.56%   
