R:A::C:P,0,1,2,3,4,5,6,p
0,0,19,4,3,5,1,5,5
1,33,0,22,13,11,8,12,15
2,6,10,0,11,6,6,10,5
3,0,0,3,0,2,2,1,4
4,2,0,2,3,0,0,1,3
5,2,0,3,2,0,0,1,0
6,1,1,0,3,0,1,0,0
p,4,0,1,3,2,0,1,0
