R:A::C:P,0,1 3,2 4,5
0,0.42105263157894735,0.42105263157894735,0.05263157894736842,0.10526315789473684
1 3,0.2564102564102564,0.358974358974359,0.358974358974359,0.02564102564102564
2 4,0.19047619047619047,0.42857142857142855,0.38095238095238093,0.0
5,0.0,1.0,0.0,0.0
