R:A::C:P,0,1 3,2 4,5
0,0.1,0.1,0.0125,0.025
1 3,0.125,0.175,0.175,0.0125
2 4,0.05,0.1125,0.1,0.0
5,0.0,0.0125,0.0,0.0
