R:A::C:P,0,1,2 6,3 5,4
0,0.022988505747126436,0.013649425287356323,0.00646551724137931,0.005747126436781609,0.004310344827586207
1,0.06609195402298851,0.07255747126436782,0.05675287356321839,0.042385057471264365,0.035919540229885055
2 6,0.06321839080459771,0.0617816091954023,0.14870689655172414,0.14080459770114942,0.0639367816091954
3 5,0.02442528735632184,0.016522988505747127,0.035201149425287355,0.04525862068965517,0.020833333333333332
4,0.005747126436781609,0.0035919540229885057,0.015804597701149427,0.015804597701149427,0.011494252873563218
