R:A::C:P,0,1,2,3,4,5,6
0,0,31,4,3,8,9,5
1,60,0,35,18,22,4,27
2,10,19,0,16,12,6,18
3,1,1,7,0,6,4,3
4,4,0,3,4,0,1,2
5,4,0,2,6,1,0,4
6,1,2,4,1,5,3,0
