R:A::C:P,0 2,1 5,3,4
0 2,0.4318181818181818,0.5,0.6363636363636364,0.0
1 5,0.4772727272727273,0.5,0.36363636363636365,0.0
3,0.06818181818181818,0.0,0.0,0.0
4,0.022727272727272728,0.0,0.0,1.0
