R:A::C:P,0,1 3,2 6,4,5
0,0.3230769230769231,0.125,0.09722222222222222,0.16666666666666666,0.0625
1 3,0.5076923076923077,0.5,0.5277777777777778,0.4666666666666667,0.5625
2 6,0.12307692307692308,0.3125,0.2777777777777778,0.2,0.375
4,0.015384615384615385,0.03125,0.041666666666666664,0.16666666666666666,0.0
5,0.03076923076923077,0.03125,0.05555555555555555,0.0,0.0
