R:A::C:P,0,1,2,3,4,5,6,p
0,0.7272727272727273,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0
1,0.18518518518518517,0.4074074074074074,0.3333333333333333,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035
2,0.15384615384615385,0.46153846153846156,0.38461538461538464,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0
4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
5,0.0,0.16666666666666666,0.5,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0
6,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666
p,0.0,0.25,0.0,0.125,0.0,0.25,0.0,0.375
