R:A::C:P,0 5 6,1,2,3,4
0 5 6,0.36363636363636365,0.21212121212121213,0.09090909090909091,0.13333333333333333,0.3333333333333333
1,0.4090909090909091,0.6666666666666666,0.4090909090909091,0.4,0.3333333333333333
2,0.1590909090909091,0.12121212121212122,0.4090909090909091,0.3333333333333333,0.16666666666666666
3,0.022727272727272728,0.0,0.045454545454545456,0.13333333333333333,0.08333333333333333
4,0.045454545454545456,0.0,0.045454545454545456,0.0,0.08333333333333333
