                               Overall Accuracy:                                

                      Grouping  Overall    Average    F1 Score     MCC    
                    0123-4-5-6   77.78%     26.80%     25.07%     2.16%   
                    0124-3-5-6   77.78%     30.51%     27.12%     9.03%   
                    0125-3-4-6   76.98%     36.51%     30.19%     14.70%  
                    012-36-4-5   69.84%     41.28%     32.47%     15.80%  
                    012-3-46-5   69.05%     38.36%     30.91%     13.80%  
                    012-34-5-6   69.05%     29.47%     26.20%     8.32%   
                    012-35-4-6   69.05%     33.99%     28.46%     10.96%  
                    012-3-4-56   68.25%     34.61%     28.77%     11.19%  
                    012-3-45-6   68.25%     31.93%     27.43%     9.54%   
                    0126-3-4-5   68.25%     34.45%     28.47%     8.06%   
                    0134-2-5-6   66.67%     28.07%     29.13%     9.21%   
                    0145-2-3-6   66.67%     37.96%     34.46%     18.16%  
                    014-23-5-6   65.87%     31.61%     31.96%     15.55%  
                    0135-2-4-6   65.08%     33.73%     31.87%     12.46%  
                    0-1235-4-6   64.29%     36.11%     33.32%     16.22%  
                    014-25-3-6   64.29%     39.17%     35.30%     19.51%  
                    015-23-4-6   64.29%     37.23%     34.65%     18.61%  
                    0-1234-5-6   63.49%     29.67%     29.76%     10.15%  
                    01-235-4-6   62.70%     38.24%     35.13%     19.94%  
                    014-2-36-5   62.70%     43.33%     37.52%     22.38%  
                    01-234-5-6   61.90%     31.56%     31.36%     15.19%  
                    013-25-4-6   61.90%     34.67%     32.39%     13.27%  
                    014-2-35-6   61.90%     36.04%     33.51%     17.54%  
                    0146-2-3-5   61.90%     36.74%     33.77%     17.27%  
                    015-24-3-6   61.90%     38.18%     34.21%     17.83%  
                    013-24-5-6   61.11%     28.07%     28.60%     8.53%   
                    014-2-3-56   61.11%     36.67%     33.83%     17.77%  
                    014-26-3-5   61.11%     36.37%     33.30%     17.09%  
                    015-2-36-4   61.11%     48.95%     40.21%     25.44%  
                    04-123-5-6   61.11%     31.26%     30.51%     12.89%  
                    01-236-4-5   60.32%     36.92%     34.74%     19.23%  
                    0136-2-4-5   60.32%     32.52%     31.17%     11.85%  
                    015-2-3-46   60.32%     46.03%     38.65%     23.44%  
                    015-2-34-6   60.32%     37.14%     33.95%     17.96%  
                    0-1245-3-6   59.52%     38.17%     33.58%     14.25%  
                    01-23-46-5   59.52%     39.56%     36.00%     20.55%  
                    01-245-3-6   59.52%     38.78%     34.46%     18.56%  
                    013-2-46-5   59.52%     35.92%     33.05%     14.13%  
                    015-26-3-4   59.52%     41.98%     35.99%     20.15%  
                    0156-2-3-4   59.52%     42.08%     36.17%     19.46%  
                    05-123-4-6   59.52%     35.52%     32.25%     14.67%  
                    0-1236-4-5   58.73%     34.59%     32.25%     14.53%  
                    01-23-4-56   58.73%     35.81%     33.86%     17.94%  
                    01-23-45-6   58.73%     33.13%     32.53%     16.29%  
                    01-25-36-4   58.73%     50.03%     40.90%     26.51%  
                    013-2-4-56   58.73%     32.17%     30.91%     11.53%  
                    013-2-45-6   58.73%     29.49%     29.57%     9.87%   
                    013-26-4-5   58.73%     31.87%     30.38%     10.84%  
                    016-23-4-5   58.73%     35.62%     33.51%     16.70%  
                    0-123-46-5   57.94%     37.97%     34.11%     16.75%  
                    01-24-36-5   57.94%     43.43%     37.12%     21.78%  
                    01-25-3-46   57.94%     47.11%     39.34%     24.51%  
                    01-25-34-6   57.94%     38.22%     34.63%     19.03%  
                    04-125-3-6   57.94%     39.93%     34.49%     17.67%  
                    0-123-4-56   57.14%     34.22%     31.97%     14.14%  
                    0-123-45-6   57.14%     31.54%     30.63%     12.49%  
                    01-2-346-5   57.14%     42.11%     36.58%     21.92%  
                    01-24-35-6   57.14%     36.14%     33.11%     16.93%  
                    01-246-3-5   57.14%     37.22%     33.72%     17.57%  
                    01-256-3-4   57.14%     43.01%     36.70%     21.26%  
                    016-25-3-4   57.14%     43.18%     36.85%     20.66%  
                    06-123-4-5   57.14%     33.79%     31.45%     13.50%  
                    01-2-356-4   56.35%     44.75%     37.87%     23.18%  
                    01-24-3-56   56.35%     36.76%     33.42%     17.17%  
                    016-24-3-5   56.35%     36.58%     33.06%     15.93%  
                    0-125-36-4   55.56%     49.56%     39.65%     23.53%  
                    01-2-345-6   55.56%     35.03%     32.81%     16.87%  
                    01-2-35-46   55.56%     43.99%     37.56%     22.54%  
                    01-2-36-45   55.56%     44.85%     38.09%     23.12%  
                    05-124-3-6   55.56%     37.78%     32.67%     13.70%  
                    0-124-36-5   54.76%     43.15%     36.09%     17.78%  
                    0-125-3-46   54.76%     46.64%     38.09%     21.52%  
                    0-125-34-6   54.76%     37.75%     33.38%     16.05%  
                    01-2-3-456   54.76%     40.86%     35.83%     20.35%  
                    01-2-34-56   54.76%     35.72%     33.16%     17.30%  
                    01-26-34-5   54.76%     35.43%     32.63%     16.61%  
                    01-26-35-4   54.76%     39.94%     34.89%     19.25%  
                    016-2-34-5   54.76%     35.54%     32.80%     16.06%  
                    016-2-35-4   54.76%     40.05%     35.06%     18.70%  
                    0-124-35-6   53.97%     35.86%     32.08%     12.94%  
                    0-1246-3-5   53.97%     36.60%     32.40%     12.66%  
                    0-1256-3-4   53.97%     42.73%     35.62%     17.59%  
                    01-26-3-45   53.97%     37.89%     33.86%     17.83%  
                    016-2-3-45   53.97%     38.00%     34.03%     17.27%  
                    03-125-4-6   53.97%     32.58%     29.49%     10.66%  
                    045-12-3-6   53.97%     38.97%     33.10%     16.39%  
                    06-125-3-4   53.97%     42.46%     35.44%     18.28%  
                    0-124-3-56   53.17%     36.48%     32.39%     13.18%  
                    0234-1-5-6   53.17%     27.18%     27.47%     7.88%   
                    0245-1-3-6   53.17%     36.94%     32.65%     15.08%  
                    03-124-5-6   53.17%     26.16%     25.94%     4.92%   
                    04-12-36-5   53.17%     44.78%     36.80%     20.79%  
                    06-124-3-5   53.17%     36.05%     31.88%     12.54%  
                    0235-1-4-6   52.38%     32.91%     30.33%     11.41%  
                    024-13-5-6   52.38%     27.24%     27.79%     7.34%   
                    034-12-5-6   52.38%     28.07%     27.06%     8.46%   
                    04-12-35-6   52.38%     37.49%     32.79%     15.95%  
                    046-12-3-5   52.38%     38.42%     33.26%     16.48%  
                    025-13-4-6   51.59%     32.88%     30.57%     10.72%  
                    04-12-3-56   51.59%     38.11%     33.10%     16.18%  
                    04-126-3-5   51.59%     37.97%     32.78%     14.95%  
                    05-12-36-4   51.59%     49.04%     38.53%     22.57%  
                    0-12-346-5   50.79%     42.33%     35.41%     19.18%  
                    024-15-3-6   50.79%     36.00%     31.90%     12.73%  
                    035-12-4-6   50.79%     32.61%     29.05%     10.47%  
                    05-12-3-46   50.79%     46.12%     36.98%     20.56%  
                    05-12-34-6   50.79%     37.24%     32.27%     15.09%  
                    0-12-356-4   50.00%     44.97%     36.70%     20.44%  
                    0-1345-2-6   50.00%     34.81%     34.66%     13.40%  
                    02-134-5-6   50.00%     25.74%     26.45%     4.29%   
                    02-135-4-6   50.00%     31.81%     29.62%     8.62%   
                    025-14-3-6   50.00%     35.63%     31.55%     11.88%  
                    04-1-235-6   50.00%     40.36%     38.04%     21.75%  
                    04-135-2-6   50.00%     36.72%     35.80%     16.54%  
                    05-126-3-4   50.00%     42.23%     34.51%     16.73%  
                    056-12-3-4   50.00%     41.94%     34.39%     17.35%  
                    0-1-2345-6   49.21%     38.67%     36.71%     19.95%  
                    0-12-345-6   49.21%     35.24%     31.64%     14.14%  
                    0-12-35-46   49.21%     44.20%     36.39%     19.80%  
                    0-12-36-45   49.21%     45.07%     36.92%     20.39%  
                    0-134-25-6   49.21%     36.11%     35.55%     15.20%  
                    0-14-235-6   49.21%     38.47%     36.91%     18.45%  
                    023-14-5-6   49.21%     25.54%     26.07%     4.14%   
                    023-15-4-6   49.21%     31.56%     29.19%     8.37%   
                    024-1-36-5   49.21%     41.51%     35.05%     17.65%  
                    036-12-4-5   49.21%     31.92%     28.97%     10.46%  
                    04-13-25-6   49.21%     37.87%     36.55%     18.01%  
                    04-15-23-6   49.21%     39.09%     37.32%     19.44%  
                    0-12-3-456   48.41%     41.08%     34.66%     17.62%  
                    0-12-34-56   48.41%     35.94%     31.99%     14.56%  
                    0-126-34-5   48.41%     35.79%     31.67%     13.33%  
                    0-126-35-4   48.41%     40.31%     33.92%     15.97%  
                    0-1346-2-5   48.41%     34.50%     34.90%     14.92%  
                    0-135-24-6   48.41%     35.58%     34.95%     14.79%  
                    0-145-23-6   48.41%     37.06%     36.07%     16.02%  
                    0-15-234-6   48.41%     37.80%     36.27%     17.93%  
                    024-1-35-6   48.41%     34.21%     31.04%     12.81%  
                    0246-1-3-5   48.41%     35.00%     31.41%     12.99%  
                    025-1-36-4   48.41%     47.15%     37.83%     21.03%  
                    03-12-46-5   48.41%     34.51%     30.24%     11.78%  
                    045-1-23-6   48.41%     38.78%     36.78%     19.96%  
                    045-13-2-6   48.41%     36.23%     35.08%     16.48%  
                    05-134-2-6   48.41%     34.90%     34.36%     13.99%  
                    06-12-34-5   48.41%     35.51%     31.48%     13.92%  
                    06-12-35-4   48.41%     40.02%     33.73%     16.56%  
                    0-1-2346-5   47.62%     38.25%     36.99%     20.26%  
                    0-1-2356-4   47.62%     44.28%     40.20%     24.13%  
                    0-126-3-45   47.62%     38.25%     32.90%     14.55%  
                    0-13-245-6   47.62%     36.26%     35.27%     15.92%  
                    0-1356-2-4   47.62%     40.22%     37.71%     18.48%  
                    02-136-4-5   47.62%     31.06%     29.42%     9.11%   
                    02-145-3-6   47.62%     34.24%     30.30%     9.08%   
                    0236-1-4-5   47.62%     30.99%     29.10%     9.40%   
                    024-1-3-56   47.62%     34.84%     31.36%     13.05%  
                    024-16-3-5   47.62%     34.68%     30.98%     12.17%  
                    025-1-3-46   47.62%     44.23%     36.27%     19.03%  
                    025-1-34-6   47.62%     35.35%     31.56%     13.55%  
                    03-12-4-56   47.62%     30.76%     28.10%     9.18%   
                    03-12-45-6   47.62%     28.08%     26.76%     7.52%   
                    03-126-4-5   47.62%     30.61%     27.78%     7.94%   
                    04-1-236-5   47.62%     39.04%     37.65%     21.04%  
                    04-136-2-5   47.62%     35.96%     35.60%     17.04%  
                    05-1-234-6   47.62%     37.93%     36.01%     18.77%  
                    05-14-23-6   47.62%     37.33%     35.93%     16.98%  
                    06-12-3-45   47.62%     37.97%     32.71%     15.14%  
                    0-1-235-46   46.83%     47.07%     41.63%     25.60%  
                    0-135-2-46   46.83%     43.43%     39.39%     20.40%  
                    0-136-25-4   46.83%     41.43%     38.53%     20.02%  
                    0-14-236-5   46.83%     37.15%     36.53%     17.74%  
                    0-15-236-4   46.83%     43.16%     39.65%     21.97%  
                    02-13-46-5   46.83%     34.22%     31.04%     10.95%  
                    023-1-46-5   46.83%     34.15%     30.79%     11.29%  
                    025-16-3-4   46.83%     40.33%     33.75%     15.55%  
                    0256-1-3-4   46.83%     40.23%     33.79%     15.60%  
                    046-1-23-5   46.83%     38.23%     36.93%     20.05%  
                    046-13-2-5   46.83%     35.68%     35.23%     16.57%  
