R:A::C:P,0 3 6,1 4 5,2
0 3 6,0.48324514991181655,0.4074074074074074,0.10934744268077601
1 4 5,0.43636363636363634,0.44545454545454544,0.11818181818181818
2,0.4218181818181818,0.4290909090909091,0.14909090909090908
