R:A::C:P,0 3,1 4,2 5,6
0 3,0.4268292682926829,0.25609756097560976,0.23170731707317074,0.08536585365853659
1 4,0.37222222222222223,0.3277777777777778,0.15,0.15
2 5,0.2653061224489796,0.29591836734693877,0.24489795918367346,0.19387755102040816
6,0.125,0.4375,0.375,0.0625
