R:A::C:P,0,1 3 4,2 6,5
0,0.029449423815621,0.03841229193341869,0.014084507042253521,0.011523687580025609
1 3 4,0.09090909090909091,0.20358514724711907,0.12419974391805377,0.05377720870678617
2 6,0.04481434058898848,0.17413572343149808,0.09218950064020487,0.0499359795134443
5,0.008962868117797696,0.029449423815621,0.019206145966709345,0.015364916773367477
