R:A::C:P,0 2,1,3,4 5,6
0 2,0.3853211009174312,0.4482758620689655,0.3142857142857143,0.3695652173913043,0.4642857142857143
1,0.5045871559633027,0.4827586206896552,0.37142857142857144,0.43478260869565216,0.42857142857142855
3,0.027522935779816515,0.034482758620689655,0.11428571428571428,0.06521739130434782,0.03571428571428571
4 5,0.07339449541284404,0.0,0.11428571428571428,0.10869565217391304,0.07142857142857142
6,0.009174311926605505,0.034482758620689655,0.08571428571428572,0.021739130434782608,0.0
