R:A::C:P,0 1 5,2 3,4,6
0 1 5,0.41509433962264153,0.18238993710691823,0.08176100628930817,0.006289308176100629
2 3,0.08176100628930817,0.14465408805031446,0.018867924528301886,0.012578616352201259
4,0.006289308176100629,0.018867924528301886,0.018867924528301886,0.0
6,0.006289308176100629,0.006289308176100629,0.0,0.0
