R:A::C:P,0 1,2 3 4,5,6
0 1,0.1752873563218391,0.09985632183908046,0.021551724137931036,0.03017241379310345
2 3 4,0.09339080459770115,0.14655172413793102,0.042385057471264365,0.040948275862068964
5,0.020833333333333332,0.03089080459770115,0.009339080459770116,0.007902298850574713
6,0.0610632183908046,0.10775862068965517,0.04885057471264368,0.06321839080459771
