R:A::C:P,0 5,1 3,2 4,6
0 5,0.3941176470588235,0.31176470588235294,0.21764705882352942,0.07647058823529412
1 3,0.3105590062111801,0.3333333333333333,0.2463768115942029,0.10973084886128365
2 4,0.25862068965517243,0.3074712643678161,0.3074712643678161,0.12643678160919541
6,0.29923273657289,0.23273657289002558,0.24296675191815856,0.22506393861892582
