R:A::C:P,0 5,1 3,2 4,6
0 5,0.1580188679245283,0.12864077669902912,0.10335195530726257,0.06565656565656566
1 3,0.35377358490566035,0.3907766990291262,0.3324022346368715,0.2676767676767677
2 4,0.21226415094339623,0.25970873786407767,0.2988826815642458,0.2222222222222222
6,0.2759433962264151,0.220873786407767,0.26536312849162014,0.4444444444444444
